meta_cluster,num_categories,total_reviews,avg_positive_pct,avg_neutral_pct,avg_negative_pct,categories,top_products,keywords,meta_category_name
0,3,5076,0.95725,0.02699,0.01576,"Amazon SMP, Back To College, Categories","Certified Refurbished Amazon Fire TV with Alexa Voice Remote, Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player, Amazon Fire TV Gaming Edition Streaming Media Player | Unknown Product | Echo (White), Echo (White)","tv, refurbished, cable, apple, certified, box, remote, apple tv, new, best, certified refurbished, boot","Kindle, Tablets, Batteries and Office Products"
1,6,573,0.853403,0.045375,0.101222,"Accessories, Amazon Devices & Accessories, Chargers & Adapters, Computers & Accessories, Power Adapters & Cables, Tablet & eBook Reader Accs","AmazonBasics USB 3.0 Cable - A - Male to B - Male - 6 Feet (1.8 Meters) | All - New Kindle E - reader - Black, 6 Glare - Free Touchscreen Display, Wi - Fi - Includes Special Offers, Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders, Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders, Amazon Kindle Fire Hd (3rd Generation) 8gb, Amazon Kindle Fire Hd (3rd Generation) 8gb | Unknown Product, Kindle PowerFast International Charging Kit (for accelerated charging in over 200 countries) | Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders, Amazon Kindle Charger Power Adapter Wall Charger And Usb Cable Micro Usb Cord, Amazon Kindle Replacement Power Adapter (Fits Latest Generation Kindle and Kindle DX) For shipment in the U.S only | Unknown Product","kindle, charger, cable, usb, charging, cord, charge, new, needs, share, power, device","Small Accessories, Cases, Stands and Pet Supplies"
2,15,53284,0.913595,0.045004,0.041401,"AA, Computers, Computers & Tablets, Computers/Tablets & Networking, E-Readers & Accessories, EBook Readers, Electronics, Electronics Features, Fire Tablets, Kindle E-readers, Office, Tablets, Walmart for Business, eBook Readers, mazon.co.uk","AmazonBasics AAA Performance Alkaline Batteries (36 Count), AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary | Fire Kids Edition Tablet, 7 Display, Wi - Fi, 16 GB, Blue Kid - Proof Case, Amazon Echo Show Alexa - enabled Bluetooth Speaker with 7"" Screen, Amazon Kindle E - Reader 6"" Wifi (8th Generation, 2016), All - New Kindle E - reader - Black, 6"" Glare - Free Touchscreen Display, Wi - Fi - Includes Special Offers | Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue, Amazon - Kindle Voyage - 4GB - Wi - Fi + 3G - Black, Echo (White), Echo (White) | Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue, Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue, Fire Kids Edition Tablet, 7 Display, Wi - Fi, 16 GB, Green Kid - Proof Case, Unknown Product, Amazon Kindle Touch Leather Case (4th Generation - 2011 Release), Olive Green, Amazon Kindle Touch Leather Case (4th Generation - 2011 Release), Olive Green | Kindle Oasis E - reader with Leather Charging Cover - Walnut, 6 High - Resolution Display (300 ppi), Wi - Fi - Includes Special Offers, All - New Kindle Oasis E - reader - 7 High - Resolution Display (300 ppi), Waterproof, Built - In Audible, 32 GB, Wi - Fi - Includes Special Offers","kindle, tablet, read, reading, books, oasis, kids, screen, paperwhite, light, reader, loves","Fire TV, Refurbished and Promotional Electronics"
3,11,102,0.784314,0.147059,0.068627,"Amazon Device Accessories, Audio & Video Accessories, Bags, Carriers & Totes, Cases, Crate Training, Frys, Home & Garden, Laptop Computer Stands, Portable Computer Accessories, Standard Litter Boxes","Fire Kids Edition Tablet, 7 Display, Wi - Fi, 16 GB, Green Kid - Proof Case | AmazonBasics 16 - Gauge Speaker Wire - 100 Feet, AmazonBasics Nylon CD/DVD Binder (400 Capacity) | AmazonBasics 15.6 - Inch Laptop and Tablet Bag | Two Door Top Load Pet Kennel Travel Crate Dog Cat Pet Cage Carrier Box Tray 23"" | Unknown Product","laptop, share, kindle, cover, case, litter, color, crate, stand, pet, dog, pages","Echo, Alexa and Home Entertainment"
4,6,8924,0.945652,0.036531,0.017817,"Amazon Echo, Consumer Electronics, Featured Brands, Kindle Store, Stereos, TVs Entertainment","Amazon Tap Smart Assistant Alexaenabled (black) Brand New, Amazon - Echo Plus w/ Built - In Hub - Silver, Amazon Tap - Alexa - Enabled Portable Bluetooth Speaker, Amazon Echo Show Alexa - enabled Bluetooth Speaker with 7"" Screen, Amazon Echo (1st Generationcertified) Color:White Free Shipping | Certified Refurbished Amazon Echo, Echo Dot (Previous generation) | Unknown Product, All - New Kindle Oasis E - reader - 7 High - Resolution Display (300 ppi), Waterproof, Built - In Audible, 32 GB, Wi - Fi + Free Cellular Connectivity | Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Black | Echo (White), Echo (White), Amazon Fire Tv, Amazon Fire Tv, Unknown Product, Amazon - Amazon Tap Portable Bluetooth and Wi - Fi Speaker - Black, Amazon - Amazon Tap Portable Bluetooth and Wi - Fi Speaker - Black, Amazon Fire Hd 10 Tablet, Wi - Fi, 16 Gb, Special Offers - Silver Aluminum, Amazon Fire Hd 10 Tablet, Wi - Fi, 16 Gb, Special Offers - Silver Aluminum","echo, alexa, tap, music, sound, speaker, power, home, device, time, share, play","Chargers, Cables and Device Accessories"
